TEAM_ID|DIVISION|LEAGUE|PREFIX_1|PREFIX_2|TEAM|URL
Dallas Mavericks|Southwest|nba|dal|dallas-mavericks|Dallas Mavericks|http://www.espn.com/nba/team/_/name/dal/dallas-mavericks
Houston Rockets|Southwest|nba|hou|houston-rockets|Houston Rockets|http://www.espn.com/nba/team/_/name/hou/houston-rockets
Memphis Grizzlies|Southwest|nba|mem|memphis-grizzlies|Memphis Grizzlies|http://www.espn.com/nba/team/_/name/mem/memphis-grizzlies
New Orleans Pelicans|Southwest|nba|no|new-orleans-pelicans|New Orleans Pelicans|http://www.espn.com/nba/team/_/name/no/new-orleans-pelicans
San Antonio Spurs|Southwest|nba|sa|san-antonio-spurs|San Antonio Spurs|http://www.espn.com/nba/team/_/name/sa/san-antonio-spurs
Atlanta Hawks|Southeast|nba|atl|atlanta-hawks|Atlanta Hawks|http://www.espn.com/nba/team/_/name/atl/atlanta-hawks
Charlotte Hornets|Southeast|nba|cha|charlotte-hornets|Charlotte Hornets|http://www.espn.com/nba/team/_/name/cha/charlotte-hornets
Miami Heat|Southeast|nba|mia|miami-heat|Miami Heat|http://www.espn.com/nba/team/_/name/mia/miami-heat
Orlando Magic|Southeast|nba|orl|orlando-magic|Orlando Magic|http://www.espn.com/nba/team/_/name/orl/orlando-magic
Washington Wizards|Southeast|nba|wsh|washington-wizards|Washington Wizards|http://www.espn.com/nba/team/_/name/wsh/washington-wizards
Denver Nuggets|Northwest|nba|den|denver-nuggets|Denver Nuggets|http://www.espn.com/nba/team/_/name/den/denver-nuggets
Minnesota Timberwolves|Northwest|nba|min|minnesota-timberwolves|Minnesota Timberwolves|http://www.espn.com/nba/team/_/name/min/minnesota-timberwolves
Oklahoma City Thunder|Northwest|nba|okc|oklahoma-city-thunder|Oklahoma City Thunder|http://www.espn.com/nba/team/_/name/okc/oklahoma-city-thunder
Portland Trail Blazers|Northwest|nba|por|portland-trail-blazers|Portland Trail Blazers|http://www.espn.com/nba/team/_/name/por/portland-trail-blazers
Utah Jazz|Northwest|nba|utah|utah-jazz|Utah Jazz|http://www.espn.com/nba/team/_/name/utah/utah-jazz
Chicago Blackhawks|Central Division|nhl|chi|chicago-blackhawks|Chicago Blackhawks|http://www.espn.com/nhl/team/_/name/chi/chicago-blackhawks
