TEAM_ID|DIVISION|LEAGUE|PREFIX_1|PREFIX_2|TEAM|URL
Virginia Tech|ACC|mens-college-basketball|259|virginia-tech-hokies|Virginia Tech|http://www.espn.com/mens-college-basketball/team/_/id/259/virginia-tech-hokies
Wake Forest|ACC|mens-college-basketball|154|wake-forest-demon-deacons|Wake Forest|http://www.espn.com/mens-college-basketball/team/_/id/154/wake-forest-demon-deacons
FGCU|Atlantic Sun|mens-college-basketball|526|florida-gulf-coast-eagles|FGCU|http://www.espn.com/mens-college-basketball/team/_/id/526/florida-gulf-coast-eagles
Jacksonville|Atlantic Sun|mens-college-basketball|294|jacksonville-dolphins|Jacksonville|http://www.espn.com/mens-college-basketball/team/_/id/294/jacksonville-dolphins
Kennesaw State|Atlantic Sun|mens-college-basketball|338|kennesaw-state-owls|Kennesaw State|http://www.espn.com/mens-college-basketball/team/_/id/338/kennesaw-state-owls
Lipscomb|Atlantic Sun|mens-college-basketball|288|lipscomb-bisons|Lipscomb|http://www.espn.com/mens-college-basketball/team/_/id/288/lipscomb-bisons
NJIT|Atlantic Sun|mens-college-basketball|2885|njit-highlanders|NJIT|http://www.espn.com/mens-college-basketball/team/_/id/2885/njit-highlanders
North Florida|Atlantic Sun|mens-college-basketball|2454|north-florida-ospreys|North Florida|http://www.espn.com/mens-college-basketball/team/_/id/2454/north-florida-ospreys
USC Upstate|Atlantic Sun|mens-college-basketball|2908|south-carolina-upstate-spartans|USC Upstate|http://www.espn.com/mens-college-basketball/team/_/id/2908/south-carolina-upstate-spartans
Stetson|Atlantic Sun|mens-college-basketball|56|stetson-hatters|Stetson|http://www.espn.com/mens-college-basketball/team/_/id/56/stetson-hatters
Baylor|Big 12|mens-college-basketball|239|baylor-bears|Baylor|http://www.espn.com/mens-college-basketball/team/_/id/239/baylor-bears
Iowa State|Big 12|mens-college-basketball|66|iowa-state-cyclones|Iowa State|http://www.espn.com/mens-college-basketball/team/_/id/66/iowa-state-cyclones
Kansas|Big 12|mens-college-basketball|2305|kansas-jayhawks|Kansas|http://www.espn.com/mens-college-basketball/team/_/id/2305/kansas-jayhawks
Kansas State|Big 12|mens-college-basketball|2306|kansas-state-wildcats|Kansas State|http://www.espn.com/mens-college-basketball/team/_/id/2306/kansas-state-wildcats
Oklahoma|Big 12|mens-college-basketball|201|oklahoma-sooners|Oklahoma|http://www.espn.com/mens-college-basketball/team/_/id/201/oklahoma-sooners
Oklahoma State|Big 12|mens-college-basketball|197|oklahoma-state-cowboys|Oklahoma State|http://www.espn.com/mens-college-basketball/team/_/id/197/oklahoma-state-cowboys
TCU|Big 12|mens-college-basketball|2628|tcu-horned-frogs|TCU|http://www.espn.com/mens-college-basketball/team/_/id/2628/tcu-horned-frogs
Texas|Big 12|mens-college-basketball|251|texas-longhorns|Texas|http://www.espn.com/mens-college-basketball/team/_/id/251/texas-longhorns
Texas Tech|Big 12|mens-college-basketball|2641|texas-tech-red-raiders|Texas Tech|http://www.espn.com/mens-college-basketball/team/_/id/2641/texas-tech-red-raiders
West Virginia|Big 12|mens-college-basketball|277|west-virginia-mountaineers|West Virginia|http://www.espn.com/mens-college-basketball/team/_/id/277/west-virginia-mountaineers
Butler|Big East|mens-college-basketball|2086|butler-bulldogs|Butler|http://www.espn.com/mens-college-basketball/team/_/id/2086/butler-bulldogs
Creighton|Big East|mens-college-basketball|156|creighton-bluejays|Creighton|http://www.espn.com/mens-college-basketball/team/_/id/156/creighton-bluejays
DePaul|Big East|mens-college-basketball|305|depaul-blue-demons|DePaul|http://www.espn.com/mens-college-basketball/team/_/id/305/depaul-blue-demons
Georgetown|Big East|mens-college-basketball|46|georgetown-hoyas|Georgetown|http://www.espn.com/mens-college-basketball/team/_/id/46/georgetown-hoyas
Marquette|Big East|mens-college-basketball|269|marquette-golden-eagles|Marquette|http://www.espn.com/mens-college-basketball/team/_/id/269/marquette-golden-eagles
Providence|Big East|mens-college-basketball|2507|providence-friars|Providence|http://www.espn.com/mens-college-basketball/team/_/id/2507/providence-friars
Seton Hall|Big East|mens-college-basketball|2550|seton-hall-pirates|Seton Hall|http://www.espn.com/mens-college-basketball/team/_/id/2550/seton-hall-pirates
St John's|Big East|mens-college-basketball|2599|st.-john's-red-storm|St John's|http://www.espn.com/mens-college-basketball/team/_/id/2599/st.-john's-red-storm
Villanova|Big East|mens-college-basketball|222|villanova-wildcats|Villanova|http://www.espn.com/mens-college-basketball/team/_/id/222/villanova-wildcats
Xavier|Big East|mens-college-basketball|2752|xavier-musketeers|Xavier|http://www.espn.com/mens-college-basketball/team/_/id/2752/xavier-musketeers
E Washington|Big Sky|mens-college-basketball|331|eastern-washington-eagles|E Washington|http://www.espn.com/mens-college-basketball/team/_/id/331/eastern-washington-eagles
Idaho|Big Sky|mens-college-basketball|70|idaho-vandals|Idaho|http://www.espn.com/mens-college-basketball/team/_/id/70/idaho-vandals
Idaho State|Big Sky|mens-college-basketball|304|idaho-state-bengals|Idaho State|http://www.espn.com/mens-college-basketball/team/_/id/304/idaho-state-bengals
Montana|Big Sky|mens-college-basketball|149|montana-grizzlies|Montana|http://www.espn.com/mens-college-basketball/team/_/id/149/montana-grizzlies
Montana State|Big Sky|mens-college-basketball|147|montana-state-bobcats|Montana State|http://www.espn.com/mens-college-basketball/team/_/id/147/montana-state-bobcats
North Dakota|Big Sky|mens-college-basketball|155|north-dakota-fighting-hawks|North Dakota|http://www.espn.com/mens-college-basketball/team/_/id/155/north-dakota-fighting-hawks
N Arizona|Big Sky|mens-college-basketball|2464|northern-arizona-lumberjacks|N Arizona|http://www.espn.com/mens-college-basketball/team/_/id/2464/northern-arizona-lumberjacks
N Colorado|Big Sky|mens-college-basketball|2458|northern-colorado-bears|N Colorado|http://www.espn.com/mens-college-basketball/team/_/id/2458/northern-colorado-bears
Portland State|Big Sky|mens-college-basketball|2502|portland-st-vikings|Portland State|http://www.espn.com/mens-college-basketball/team/_/id/2502/portland-st-vikings
Sacramento St|Big Sky|mens-college-basketball|16|sacramento-state-hornets|Sacramento St|http://www.espn.com/mens-college-basketball/team/_/id/16/sacramento-state-hornets
Southern Utah|Big Sky|mens-college-basketball|253|southern-utah-thunderbirds|Southern Utah|http://www.espn.com/mens-college-basketball/team/_/id/253/southern-utah-thunderbirds
Weber State|Big Sky|mens-college-basketball|2692|weber-state-wildcats|Weber State|http://www.espn.com/mens-college-basketball/team/_/id/2692/weber-state-wildcats
Campbell|Big South|mens-college-basketball|2097|campbell-fighting-camels|Campbell|http://www.espn.com/mens-college-basketball/team/_/id/2097/campbell-fighting-camels
Charleston So|Big South|mens-college-basketball|2127|charleston-southern-buccaneers|Charleston So|http://www.espn.com/mens-college-basketball/team/_/id/2127/charleston-southern-buccaneers
Gardner-Webb|Big South|mens-college-basketball|2241|gardner-webb-bulldogs|Gardner-Webb|http://www.espn.com/mens-college-basketball/team/_/id/2241/gardner-webb-bulldogs
High Point|Big South|mens-college-basketball|2272|high-point-panthers|High Point|http://www.espn.com/mens-college-basketball/team/_/id/2272/high-point-panthers
Liberty|Big South|mens-college-basketball|2335|liberty-flames|Liberty|http://www.espn.com/mens-college-basketball/team/_/id/2335/liberty-flames
Longwood|Big South|mens-college-basketball|2344|longwood-lancers|Longwood|http://www.espn.com/mens-college-basketball/team/_/id/2344/longwood-lancers
Presbyterian|Big South|mens-college-basketball|2506|presbyterian-blue-hose|Presbyterian|http://www.espn.com/mens-college-basketball/team/_/id/2506/presbyterian-blue-hose
Radford|Big South|mens-college-basketball|2515|radford-highlanders|Radford|http://www.espn.com/mens-college-basketball/team/_/id/2515/radford-highlanders
UNC Asheville|Big South|mens-college-basketball|2427|unc-asheville-bulldogs|UNC Asheville|http://www.espn.com/mens-college-basketball/team/_/id/2427/unc-asheville-bulldogs
Winthrop|Big South|mens-college-basketball|2737|winthrop-eagles|Winthrop|http://www.espn.com/mens-college-basketball/team/_/id/2737/winthrop-eagles
Illinois|Big Ten|mens-college-basketball|356|illinois-fighting-illini|Illinois|http://www.espn.com/mens-college-basketball/team/_/id/356/illinois-fighting-illini
Indiana|Big Ten|mens-college-basketball|84|indiana-hoosiers|Indiana|http://www.espn.com/mens-college-basketball/team/_/id/84/indiana-hoosiers
Iowa|Big Ten|mens-college-basketball|2294|iowa-hawkeyes|Iowa|http://www.espn.com/mens-college-basketball/team/_/id/2294/iowa-hawkeyes
Maryland|Big Ten|mens-college-basketball|120|maryland-terrapins|Maryland|http://www.espn.com/mens-college-basketball/team/_/id/120/maryland-terrapins
Michigan|Big Ten|mens-college-basketball|130|michigan-wolverines|Michigan|http://www.espn.com/mens-college-basketball/team/_/id/130/michigan-wolverines
Michigan State|Big Ten|mens-college-basketball|127|michigan-state-spartans|Michigan State|http://www.espn.com/mens-college-basketball/team/_/id/127/michigan-state-spartans
Minnesota|Big Ten|mens-college-basketball|135|minnesota-golden-gophers|Minnesota|http://www.espn.com/mens-college-basketball/team/_/id/135/minnesota-golden-gophers
Nebraska|Big Ten|mens-college-basketball|158|nebraska-cornhuskers|Nebraska|http://www.espn.com/mens-college-basketball/team/_/id/158/nebraska-cornhuskers
Northwestern|Big Ten|mens-college-basketball|77|northwestern-wildcats|Northwestern|http://www.espn.com/mens-college-basketball/team/_/id/77/northwestern-wildcats
OSU|Big Ten|mens-college-basketball|194|ohio-state-buckeyes|OSU|http://www.espn.com/mens-college-basketball/team/_/id/194/ohio-state-buckeyes
Penn State|Big Ten|mens-college-basketball|213|penn-state-nittany-lions|Penn State|http://www.espn.com/mens-college-basketball/team/_/id/213/penn-state-nittany-lions
Purdue|Big Ten|mens-college-basketball|2509|purdue-boilermakers|Purdue|http://www.espn.com/mens-college-basketball/team/_/id/2509/purdue-boilermakers
Rutgers|Big Ten|mens-college-basketball|164|rutgers-scarlet-knights|Rutgers|http://www.espn.com/mens-college-basketball/team/_/id/164/rutgers-scarlet-knights
Wisconsin|Big Ten|mens-college-basketball|275|wisconsin-badgers|Wisconsin|http://www.espn.com/mens-college-basketball/team/_/id/275/wisconsin-badgers
Cal Poly|Big West|mens-college-basketball|13|cal-poly-mustangs|Cal Poly|http://www.espn.com/mens-college-basketball/team/_/id/13/cal-poly-mustangs
CSU Fullerton|Big West|mens-college-basketball|2239|cs-fullerton-titans|CSU Fullerton|http://www.espn.com/mens-college-basketball/team/_/id/2239/cs-fullerton-titans
CSU Northridge|Big West|mens-college-basketball|2463|csu-northridge-matadors|CSU Northridge|http://www.espn.com/mens-college-basketball/team/_/id/2463/csu-northridge-matadors
Hawai'i|Big West|mens-college-basketball|62|hawai'i-rainbow-warriors|Hawai'i|http://www.espn.com/mens-college-basketball/team/_/id/62/hawai'i-rainbow-warriors
Long Beach St|Big West|mens-college-basketball|299|long-beach-state-49ers|Long Beach St|http://www.espn.com/mens-college-basketball/team/_/id/299/long-beach-state-49ers
UC Davis|Big West|mens-college-basketball|302|uc-davis-aggies|UC Davis|http://www.espn.com/mens-college-basketball/team/_/id/302/uc-davis-aggies
UC Irvine|Big West|mens-college-basketball|300|uc-irvine-anteaters|UC Irvine|http://www.espn.com/mens-college-basketball/team/_/id/300/uc-irvine-anteaters
UC Riverside|Big West|mens-college-basketball|27|uc-riverside-highlanders|UC Riverside|http://www.espn.com/mens-college-basketball/team/_/id/27/uc-riverside-highlanders
UCSB|Big West|mens-college-basketball|2540|uc-santa-barbara-gauchos|UCSB|http://www.espn.com/mens-college-basketball/team/_/id/2540/uc-santa-barbara-gauchos
Charleston|Colonial|mens-college-basketball|232|charleston-cougars|Charleston|http://www.espn.com/mens-college-basketball/team/_/id/232/charleston-cougars
Delaware|Colonial|mens-college-basketball|48|delaware-blue-hens|Delaware|http://www.espn.com/mens-college-basketball/team/_/id/48/delaware-blue-hens
Drexel|Colonial|mens-college-basketball|2182|drexel-dragons|Drexel|http://www.espn.com/mens-college-basketball/team/_/id/2182/drexel-dragons
Elon|Colonial|mens-college-basketball|2210|elon-phoenix|Elon|http://www.espn.com/mens-college-basketball/team/_/id/2210/elon-phoenix
Hofstra|Colonial|mens-college-basketball|2275|hofstra-pride|Hofstra|http://www.espn.com/mens-college-basketball/team/_/id/2275/hofstra-pride
JMU|Colonial|mens-college-basketball|256|james-madison-dukes|JMU|http://www.espn.com/mens-college-basketball/team/_/id/256/james-madison-dukes
Northeastern|Colonial|mens-college-basketball|111|northeastern-huskies|Northeastern|http://www.espn.com/mens-college-basketball/team/_/id/111/northeastern-huskies
Towson|Colonial|mens-college-basketball|119|towson-towson|Towson|http://www.espn.com/mens-college-basketball/team/_/id/119/towson-towson
UNC Wilmington|Colonial|mens-college-basketball|350|unc-wilmington-seahawks|UNC Wilmington|http://www.espn.com/mens-college-basketball/team/_/id/350/unc-wilmington-seahawks
William & Mary|Colonial|mens-college-basketball|2729|william-%26-mary-tribe|William & Mary|http://www.espn.com/mens-college-basketball/team/_/id/2729/william-%26-mary-tribe
Charlotte|Conference USA|mens-college-basketball|2429|charlotte-49ers|Charlotte|http://www.espn.com/mens-college-basketball/team/_/id/2429/charlotte-49ers
FAU|Conference USA|mens-college-basketball|2226|florida-atlantic-owls|FAU|http://www.espn.com/mens-college-basketball/team/_/id/2226/florida-atlantic-owls
FIU|Conference USA|mens-college-basketball|2229|florida-intl-golden-panthers|FIU|http://www.espn.com/mens-college-basketball/team/_/id/2229/florida-intl-golden-panthers
LA Tech|Conference USA|mens-college-basketball|2348|louisiana-tech-bulldogs|LA Tech|http://www.espn.com/mens-college-basketball/team/_/id/2348/louisiana-tech-bulldogs
Marshall|Conference USA|mens-college-basketball|276|marshall-thundering-herd|Marshall|http://www.espn.com/mens-college-basketball/team/_/id/276/marshall-thundering-herd
Mid Tennessee|Conference USA|mens-college-basketball|2393|middle-tennessee-blue-raiders|Mid Tennessee|http://www.espn.com/mens-college-basketball/team/_/id/2393/middle-tennessee-blue-raiders
North Texas|Conference USA|mens-college-basketball|249|north-texas-mean-green|North Texas|http://www.espn.com/mens-college-basketball/team/_/id/249/north-texas-mean-green
Old Dominion|Conference USA|mens-college-basketball|295|old-dominion-monarchs|Old Dominion|http://www.espn.com/mens-college-basketball/team/_/id/295/old-dominion-monarchs
Rice|Conference USA|mens-college-basketball|242|rice-owls|Rice|http://www.espn.com/mens-college-basketball/team/_/id/242/rice-owls
Southern Miss|Conference USA|mens-college-basketball|2572|southern-miss-golden-eagles|Southern Miss|http://www.espn.com/mens-college-basketball/team/_/id/2572/southern-miss-golden-eagles
UAB|Conference USA|mens-college-basketball|5|uab-blazers|UAB|http://www.espn.com/mens-college-basketball/team/_/id/5/uab-blazers
UTSA|Conference USA|mens-college-basketball|2636|ut-san-antonio-roadrunners|UTSA|http://www.espn.com/mens-college-basketball/team/_/id/2636/ut-san-antonio-roadrunners
UTEP|Conference USA|mens-college-basketball|2638|utep-miners|UTEP|http://www.espn.com/mens-college-basketball/team/_/id/2638/utep-miners
W Kentucky|Conference USA|mens-college-basketball|98|western-kentucky-hilltoppers|W Kentucky|http://www.espn.com/mens-college-basketball/team/_/id/98/western-kentucky-hilltoppers
Cleveland State|Horizon|mens-college-basketball|325|cleveland-state-vikings|Cleveland State|http://www.espn.com/mens-college-basketball/team/_/id/325/cleveland-state-vikings
Detroit Mercy|Horizon|mens-college-basketball|2174|detroit-mercy-titans|Detroit Mercy|http://www.espn.com/mens-college-basketball/team/_/id/2174/detroit-mercy-titans
Green Bay|Horizon|mens-college-basketball|2739|green-bay-phoenix|Green Bay|http://www.espn.com/mens-college-basketball/team/_/id/2739/green-bay-phoenix
IUPUI|Horizon|mens-college-basketball|85|iupui-jaguars|IUPUI|http://www.espn.com/mens-college-basketball/team/_/id/85/iupui-jaguars
Milwaukee|Horizon|mens-college-basketball|270|milwaukee-panthers|Milwaukee|http://www.espn.com/mens-college-basketball/team/_/id/270/milwaukee-panthers
N Kentucky|Horizon|mens-college-basketball|94|northern-kentucky-norse|N Kentucky|http://www.espn.com/mens-college-basketball/team/_/id/94/northern-kentucky-norse
Oakland|Horizon|mens-college-basketball|2473|oakland-golden-grizzlies|Oakland|http://www.espn.com/mens-college-basketball/team/_/id/2473/oakland-golden-grizzlies
UIC|Horizon|mens-college-basketball|82|uic-flames|UIC|http://www.espn.com/mens-college-basketball/team/_/id/82/uic-flames
Wright State|Horizon|mens-college-basketball|2750|wright-state-raiders|Wright State|http://www.espn.com/mens-college-basketball/team/_/id/2750/wright-state-raiders
Youngstown St|Horizon|mens-college-basketball|2754|youngstown-state-penguins|Youngstown St|http://www.espn.com/mens-college-basketball/team/_/id/2754/youngstown-state-penguins
Brown|Ivy|mens-college-basketball|225|brown-bears|Brown|http://www.espn.com/mens-college-basketball/team/_/id/225/brown-bears
Columbia|Ivy|mens-college-basketball|171|columbia-lions|Columbia|http://www.espn.com/mens-college-basketball/team/_/id/171/columbia-lions
Cornell|Ivy|mens-college-basketball|172|cornell-big-red|Cornell|http://www.espn.com/mens-college-basketball/team/_/id/172/cornell-big-red
Dartmouth|Ivy|mens-college-basketball|159|dartmouth-big-green|Dartmouth|http://www.espn.com/mens-college-basketball/team/_/id/159/dartmouth-big-green
Harvard|Ivy|mens-college-basketball|108|harvard-crimson|Harvard|http://www.espn.com/mens-college-basketball/team/_/id/108/harvard-crimson
Penn|Ivy|mens-college-basketball|219|pennsylvania-quakers|Penn|http://www.espn.com/mens-college-basketball/team/_/id/219/pennsylvania-quakers
Princeton|Ivy|mens-college-basketball|163|princeton-tigers|Princeton|http://www.espn.com/mens-college-basketball/team/_/id/163/princeton-tigers
Yale|Ivy|mens-college-basketball|43|yale-bulldogs|Yale|http://www.espn.com/mens-college-basketball/team/_/id/43/yale-bulldogs
Canisius|MAAC|mens-college-basketball|2099|canisius-golden-griffins|Canisius|http://www.espn.com/mens-college-basketball/team/_/id/2099/canisius-golden-griffins
Fairfield|MAAC|mens-college-basketball|2217|fairfield-stags|Fairfield|http://www.espn.com/mens-college-basketball/team/_/id/2217/fairfield-stags
Iona|MAAC|mens-college-basketball|314|iona-gaels|Iona|http://www.espn.com/mens-college-basketball/team/_/id/314/iona-gaels
Manhattan|MAAC|mens-college-basketball|2363|manhattan-jaspers|Manhattan|http://www.espn.com/mens-college-basketball/team/_/id/2363/manhattan-jaspers
Marist|MAAC|mens-college-basketball|2368|marist-red-foxes|Marist|http://www.espn.com/mens-college-basketball/team/_/id/2368/marist-red-foxes
Monmouth|MAAC|mens-college-basketball|2405|monmouth-hawks|Monmouth|http://www.espn.com/mens-college-basketball/team/_/id/2405/monmouth-hawks
Niagara|MAAC|mens-college-basketball|315|niagara-purple-eagles|Niagara|http://www.espn.com/mens-college-basketball/team/_/id/315/niagara-purple-eagles
Quinnipiac|MAAC|mens-college-basketball|2514|quinnipiac-bobcats|Quinnipiac|http://www.espn.com/mens-college-basketball/team/_/id/2514/quinnipiac-bobcats
Rider|MAAC|mens-college-basketball|2520|rider-broncs|Rider|http://www.espn.com/mens-college-basketball/team/_/id/2520/rider-broncs
St Peter's|MAAC|mens-college-basketball|2612|saint-peter's-peacocks|St Peter's|http://www.espn.com/mens-college-basketball/team/_/id/2612/saint-peter's-peacocks
Siena|MAAC|mens-college-basketball|2561|siena-saints|Siena|http://www.espn.com/mens-college-basketball/team/_/id/2561/siena-saints
Akron|Mid-American|mens-college-basketball|2006|akron-zips|Akron|http://www.espn.com/mens-college-basketball/team/_/id/2006/akron-zips
Ball State|Mid-American|mens-college-basketball|2050|ball-state-cardinals|Ball State|http://www.espn.com/mens-college-basketball/team/_/id/2050/ball-state-cardinals
Bowling Green|Mid-American|mens-college-basketball|189|bowling-green-falcons|Bowling Green|http://www.espn.com/mens-college-basketball/team/_/id/189/bowling-green-falcons
Buffalo|Mid-American|mens-college-basketball|2084|buffalo-bulls|Buffalo|http://www.espn.com/mens-college-basketball/team/_/id/2084/buffalo-bulls
Cent Michigan|Mid-American|mens-college-basketball|2117|central-michigan-chippewas|Cent Michigan|http://www.espn.com/mens-college-basketball/team/_/id/2117/central-michigan-chippewas
E Michigan|Mid-American|mens-college-basketball|2199|eastern-michigan-eagles|E Michigan|http://www.espn.com/mens-college-basketball/team/_/id/2199/eastern-michigan-eagles
Kent State|Mid-American|mens-college-basketball|2309|kent-state-golden-flashes|Kent State|http://www.espn.com/mens-college-basketball/team/_/id/2309/kent-state-golden-flashes
Miami (OH)|Mid-American|mens-college-basketball|193|miami-(oh)-redhawks|Miami (OH)|http://www.espn.com/mens-college-basketball/team/_/id/193/miami-(oh)-redhawks
N Illinois|Mid-American|mens-college-basketball|2459|northern-illinois-huskies|N Illinois|http://www.espn.com/mens-college-basketball/team/_/id/2459/northern-illinois-huskies
Ohio|Mid-American|mens-college-basketball|195|ohio-bobcats|Ohio|http://www.espn.com/mens-college-basketball/team/_/id/195/ohio-bobcats
Toledo|Mid-American|mens-college-basketball|2649|toledo-rockets|Toledo|http://www.espn.com/mens-college-basketball/team/_/id/2649/toledo-rockets
W Michigan|Mid-American|mens-college-basketball|2711|western-michigan-broncos|W Michigan|http://www.espn.com/mens-college-basketball/team/_/id/2711/western-michigan-broncos
Bethune-Cookman|MEAC|mens-college-basketball|2065|bethune-cookman-wildcats|Bethune-Cookman|http://www.espn.com/mens-college-basketball/team/_/id/2065/bethune-cookman-wildcats
Coppin State|MEAC|mens-college-basketball|2154|coppin-state-eagles|Coppin State|http://www.espn.com/mens-college-basketball/team/_/id/2154/coppin-state-eagles
Delaware State|MEAC|mens-college-basketball|2169|delaware-state-hornets|Delaware State|http://www.espn.com/mens-college-basketball/team/_/id/2169/delaware-state-hornets
Florida A&M;|MEAC|mens-college-basketball|50|florida-a%26m-rattlers|Florida A&M;|http://www.espn.com/mens-college-basketball/team/_/id/50/florida-a%26m-rattlers
Hampton|MEAC|mens-college-basketball|2261|hampton-pirates|Hampton|http://www.espn.com/mens-college-basketball/team/_/id/2261/hampton-pirates
Howard|MEAC|mens-college-basketball|47|howard-bison|Howard|http://www.espn.com/mens-college-basketball/team/_/id/47/howard-bison
MD-E Shore|MEAC|mens-college-basketball|2379|maryland-eastern-shore-hawks|MD-E Shore|http://www.espn.com/mens-college-basketball/team/_/id/2379/maryland-eastern-shore-hawks
Morgan State|MEAC|mens-college-basketball|2415|morgan-state-bears|Morgan State|http://www.espn.com/mens-college-basketball/team/_/id/2415/morgan-state-bears
Norfolk State|MEAC|mens-college-basketball|2450|norfolk-state-spartans|Norfolk State|http://www.espn.com/mens-college-basketball/team/_/id/2450/norfolk-state-spartans
NC A&T;|MEAC|mens-college-basketball|2448|north-carolina-a%26t-aggies|NC A&T;|http://www.espn.com/mens-college-basketball/team/_/id/2448/north-carolina-a%26t-aggies
NC Central|MEAC|mens-college-basketball|2428|north-carolina-central-eagles|NC Central|http://www.espn.com/mens-college-basketball/team/_/id/2428/north-carolina-central-eagles
Savannah State|MEAC|mens-college-basketball|2542|savannah-state-tigers|Savannah State|http://www.espn.com/mens-college-basketball/team/_/id/2542/savannah-state-tigers
S Carolina St|MEAC|mens-college-basketball|2569|south-carolina-state-bulldogs|S Carolina St|http://www.espn.com/mens-college-basketball/team/_/id/2569/south-carolina-state-bulldogs
Bradley|Missouri Valley|mens-college-basketball|71|bradley-braves|Bradley|http://www.espn.com/mens-college-basketball/team/_/id/71/bradley-braves
Drake|Missouri Valley|mens-college-basketball|2181|drake-bulldogs|Drake|http://www.espn.com/mens-college-basketball/team/_/id/2181/drake-bulldogs
Evansville|Missouri Valley|mens-college-basketball|339|evansville-purple-aces|Evansville|http://www.espn.com/mens-college-basketball/team/_/id/339/evansville-purple-aces
Illinois State|Missouri Valley|mens-college-basketball|2287|illinois-state-redbirds|Illinois State|http://www.espn.com/mens-college-basketball/team/_/id/2287/illinois-state-redbirds
Indiana State|Missouri Valley|mens-college-basketball|282|indiana-state-sycamores|Indiana State|http://www.espn.com/mens-college-basketball/team/_/id/282/indiana-state-sycamores
Loyola-Chicago|Missouri Valley|mens-college-basketball|2350|loyola-chicago-ramblers|Loyola-Chicago|http://www.espn.com/mens-college-basketball/team/_/id/2350/loyola-chicago-ramblers
Missouri State|Missouri Valley|mens-college-basketball|2623|missouri-state-bears|Missouri State|http://www.espn.com/mens-college-basketball/team/_/id/2623/missouri-state-bears
Northern Iowa|Missouri Valley|mens-college-basketball|2460|northern-iowa-panthers|Northern Iowa|http://www.espn.com/mens-college-basketball/team/_/id/2460/northern-iowa-panthers
S Illinois|Missouri Valley|mens-college-basketball|79|southern-illinois-salukis|S Illinois|http://www.espn.com/mens-college-basketball/team/_/id/79/southern-illinois-salukis
Valparaiso|Missouri Valley|mens-college-basketball|2674|valparaiso-crusaders|Valparaiso|http://www.espn.com/mens-college-basketball/team/_/id/2674/valparaiso-crusaders
Air Force|Mountain West|mens-college-basketball|2005|air-force-falcons|Air Force|http://www.espn.com/mens-college-basketball/team/_/id/2005/air-force-falcons
Boise State|Mountain West|mens-college-basketball|68|boise-state-broncos|Boise State|http://www.espn.com/mens-college-basketball/team/_/id/68/boise-state-broncos
Colorado State|Mountain West|mens-college-basketball|36|colorado-state-rams|Colorado State|http://www.espn.com/mens-college-basketball/team/_/id/36/colorado-state-rams
Fresno State|Mountain West|mens-college-basketball|278|fresno-state-bulldogs|Fresno State|http://www.espn.com/mens-college-basketball/team/_/id/278/fresno-state-bulldogs
Nevada|Mountain West|mens-college-basketball|2440|nevada-wolf-pack|Nevada|http://www.espn.com/mens-college-basketball/team/_/id/2440/nevada-wolf-pack
New Mexico|Mountain West|mens-college-basketball|167|new-mexico-lobos|New Mexico|http://www.espn.com/mens-college-basketball/team/_/id/167/new-mexico-lobos
San Diego State|Mountain West|mens-college-basketball|21|san-diego-state-aztecs|San Diego State|http://www.espn.com/mens-college-basketball/team/_/id/21/san-diego-state-aztecs
San Jose State|Mountain West|mens-college-basketball|23|san-jose-state-spartans|San Jose State|http://www.espn.com/mens-college-basketball/team/_/id/23/san-jose-state-spartans
UNLV|Mountain West|mens-college-basketball|2439|unlv-rebels|UNLV|http://www.espn.com/mens-college-basketball/team/_/id/2439/unlv-rebels
Utah State|Mountain West|mens-college-basketball|328|utah-state-aggies|Utah State|http://www.espn.com/mens-college-basketball/team/_/id/328/utah-state-aggies
Wyoming|Mountain West|mens-college-basketball|2751|wyoming-cowboys|Wyoming|http://www.espn.com/mens-college-basketball/team/_/id/2751/wyoming-cowboys
Bryant|Northeast|mens-college-basketball|2803|bryant-bulldogs|Bryant|http://www.espn.com/mens-college-basketball/team/_/id/2803/bryant-bulldogs
Cent Conn St|Northeast|mens-college-basketball|2115|central-connecticut-blue-devils|Cent Conn St|http://www.espn.com/mens-college-basketball/team/_/id/2115/central-connecticut-blue-devils
Fair Dickinson|Northeast|mens-college-basketball|161|fairleigh-dickinson-knights|Fair Dickinson|http://www.espn.com/mens-college-basketball/team/_/id/161/fairleigh-dickinson-knights
LIU Brooklyn|Northeast|mens-college-basketball|2341|liu-brooklyn-blackbirds|LIU Brooklyn|http://www.espn.com/mens-college-basketball/team/_/id/2341/liu-brooklyn-blackbirds
Mt St Mary's|Northeast|mens-college-basketball|116|mt.-st.-mary's-mountaineers|Mt St Mary's|http://www.espn.com/mens-college-basketball/team/_/id/116/mt.-st.-mary's-mountaineers
Robert Morris|Northeast|mens-college-basketball|2523|robert-morris-colonials|Robert Morris|http://www.espn.com/mens-college-basketball/team/_/id/2523/robert-morris-colonials
Sacred Heart|Northeast|mens-college-basketball|2529|sacred-heart-pioneers|Sacred Heart|http://www.espn.com/mens-college-basketball/team/_/id/2529/sacred-heart-pioneers
St Francis (BKN)|Northeast|mens-college-basketball|2597|st.-francis-(bkn)-terriers|St Francis (BKN)|http://www.espn.com/mens-college-basketball/team/_/id/2597/st.-francis-(bkn)-terriers
