TEAM_NAME|TEAM|DIVISION|LEAGUE|PREFIX_2
Patriots|New England Patriots|AFC East|nfl|new-england-patriots
Jets|New York Jets|AFC East|nfl|new-york-jets
Cardinals|Arizona Cardinals|NFC West|nfl|arizona-cardinals
Rams|Los Angeles Rams|NFC West|nfl|los-angeles-rams
49ers|San Francisco 49ers|NFC West|nfl|san-francisco-49ers
Seahawks|Seattle Seahawks|NFC West|nfl|seattle-seahawks
Broncos|Denver Broncos|AFC West|nfl|denver-broncos
Chiefs|Kansas City Chiefs|AFC West|nfl|kansas-city-chiefs
Chargers|Los Angeles Chargers|AFC West|nfl|los-angeles-chargers
Raiders|Oakland Raiders|AFC West|nfl|oakland-raiders
Bears|Chicago Bears|NFC North|nfl|chicago-bears
Lions|Detroit Lions|NFC North|nfl|detroit-lions
Packers|Green Bay Packers|NFC North|nfl|green-bay-packers
Vikings|Minnesota Vikings|NFC North|nfl|minnesota-vikings
Ravens|Baltimore Ravens|AFC North|nfl|baltimore-ravens
Bengals|Cincinnati Bengals|AFC North|nfl|cincinnati-bengals
Browns|Cleveland Browns|AFC North|nfl|cleveland-browns
Steelers|Pittsburgh Steelers|AFC North|nfl|pittsburgh-steelers
Falcons|Atlanta Falcons|NFC South|nfl|atlanta-falcons
Panthers|Carolina Panthers|NFC South|nfl|carolina-panthers
Saints|New Orleans Saints|NFC South|nfl|new-orleans-saints
Buccaneers|Tampa Bay Buccaneers|NFC South|nfl|tampa-bay-buccaneers
Texans|Houston Texans|AFC South|nfl|houston-texans
Colts|Indianapolis Colts|AFC South|nfl|indianapolis-colts
Jaguars|Jacksonville Jaguars|AFC South|nfl|jacksonville-jaguars
Titans|Tennessee Titans|AFC South|nfl|tennessee-titans
Dream|Atlanta Dream|Eastern Conference|wnba|atlanta-dream
Sky|Chicago Sky|Eastern Conference|wnba|chicago-sky
Sun|Connecticut Sun|Eastern Conference|wnba|connecticut-sun
Fever|Indiana Fever|Eastern Conference|wnba|indiana-fever
Liberty|New York Liberty|Eastern Conference|wnba|new-york-liberty
Mystics|Washington Mystics|Eastern Conference|wnba|washington-mystics
Wings|Dallas Wings|Western Conference|wnba|dallas-wings
Sparks|Los Angeles Sparks|Western Conference|wnba|los-angeles-sparks
Lynx|Minnesota Lynx|Western Conference|wnba|minnesota-lynx
Mercury|Phoenix Mercury|Western Conference|wnba|phoenix-mercury
Stars|San Antonio Stars|Western Conference|wnba|san-antonio-stars
Storm|Seattle Storm|Western Conference|wnba|seattle-storm
Albany|Albany|America East|mens-college-basketball|albany-great-danes
Binghamton|Binghamton|America East|mens-college-basketball|binghamton-bearcats
Hartford|Hartford|America East|mens-college-basketball|hartford-hawks
Maine|Maine|America East|mens-college-basketball|maine-black-bears
UNH|UNH|America East|mens-college-basketball|new-hampshire-wildcats
Stony Brook|Stony Brook|America East|mens-college-basketball|stony-brook-seawolves
UMass Lowell|UMass Lowell|America East|mens-college-basketball|umass-lowell-river-hawks
UMBC|UMBC|America East|mens-college-basketball|umbc-retrievers
Vermont|Vermont|America East|mens-college-basketball|vermont-catamounts
Cincinnati|Cincinnati|American|mens-college-basketball|cincinnati-bearcats
UConn|UConn|American|mens-college-basketball|connecticut-huskies
ECU|ECU|American|mens-college-basketball|east-carolina-pirates
Houston|Houston|American|mens-college-basketball|houston-cougars
Memphis|Memphis|American|mens-college-basketball|memphis-tigers
SMU|SMU|American|mens-college-basketball|smu-mustangs
USF|USF|American|mens-college-basketball|south-florida-bulls
Temple|Temple|American|mens-college-basketball|temple-owls
Tulane|Tulane|American|mens-college-basketball|tulane-green-wave
Tulsa|Tulsa|American|mens-college-basketball|tulsa-golden-hurricane
UCF|UCF|American|mens-college-basketball|ucf-knights
Wichita State|Wichita State|American|mens-college-basketball|wichita-state-shockers
Davidson|Davidson|Atlantic 10|mens-college-basketball|davidson-wildcats
Dayton|Dayton|Atlantic 10|mens-college-basketball|dayton-flyers
Duquesne|Duquesne|Atlantic 10|mens-college-basketball|duquesne-dukes
Fordham|Fordham|Atlantic 10|mens-college-basketball|fordham-rams
George Mason|George Mason|Atlantic 10|mens-college-basketball|george-mason-patriots
G Washington|G Washington|Atlantic 10|mens-college-basketball|george-washington-colonials
La Salle|La Salle|Atlantic 10|mens-college-basketball|la-salle-explorers
UMass|UMass|Atlantic 10|mens-college-basketball|massachusetts-minutemen
URI|URI|Atlantic 10|mens-college-basketball|rhode-island-rams
Richmond|Richmond|Atlantic 10|mens-college-basketball|richmond-spiders
Saint Joe's|Saint Joe's|Atlantic 10|mens-college-basketball|saint-joseph's-hawks
Saint Louis|Saint Louis|Atlantic 10|mens-college-basketball|saint-louis-billikens
St Bonaventure|St Bonaventure|Atlantic 10|mens-college-basketball|st.-bonaventure-bonnies
VCU|VCU|Atlantic 10|mens-college-basketball|vcu-rams
Boston College|Boston College|ACC|mens-college-basketball|boston-college-eagles
Clemson|Clemson|ACC|mens-college-basketball|clemson-tigers
Duke|Duke|ACC|mens-college-basketball|duke-blue-devils
Florida State|Florida State|ACC|mens-college-basketball|florida-state-seminoles
Georgia Tech|Georgia Tech|ACC|mens-college-basketball|georgia-tech-yellow-jackets
Louisville|Louisville|ACC|mens-college-basketball|louisville-cardinals
Miami|Miami|ACC|mens-college-basketball|miami-hurricanes
NC State|NC State|ACC|mens-college-basketball|nc-state-wolfpack
UNC|UNC|ACC|mens-college-basketball|north-carolina-tar-heels
Notre Dame|Notre Dame|ACC|mens-college-basketball|notre-dame-fighting-irish
Pitt|Pitt|ACC|mens-college-basketball|pittsburgh-panthers
Syracuse|Syracuse|ACC|mens-college-basketball|syracuse-orange
UVA|UVA|ACC|mens-college-basketball|virginia-cavaliers
Virginia Tech|Virginia Tech|ACC|mens-college-basketball|virginia-tech-hokies
Wake Forest|Wake Forest|ACC|mens-college-basketball|wake-forest-demon-deacons
FGCU|FGCU|Atlantic Sun|mens-college-basketball|florida-gulf-coast-eagles
Jacksonville|Jacksonville|Atlantic Sun|mens-college-basketball|jacksonville-dolphins
Kennesaw State|Kennesaw State|Atlantic Sun|mens-college-basketball|kennesaw-state-owls
Lipscomb|Lipscomb|Atlantic Sun|mens-college-basketball|lipscomb-bisons
NJIT|NJIT|Atlantic Sun|mens-college-basketball|njit-highlanders
North Florida|North Florida|Atlantic Sun|mens-college-basketball|north-florida-ospreys
USC Upstate|USC Upstate|Atlantic Sun|mens-college-basketball|south-carolina-upstate-spartans
Stetson|Stetson|Atlantic Sun|mens-college-basketball|stetson-hatters
Baylor|Baylor|Big 12|mens-college-basketball|baylor-bears
Iowa State|Iowa State|Big 12|mens-college-basketball|iowa-state-cyclones
Kansas|Kansas|Big 12|mens-college-basketball|kansas-jayhawks
Kansas State|Kansas State|Big 12|mens-college-basketball|kansas-state-wildcats
Oklahoma|Oklahoma|Big 12|mens-college-basketball|oklahoma-sooners
Oklahoma State|Oklahoma State|Big 12|mens-college-basketball|oklahoma-state-cowboys
TCU|TCU|Big 12|mens-college-basketball|tcu-horned-frogs
Texas|Texas|Big 12|mens-college-basketball|texas-longhorns
Texas Tech|Texas Tech|Big 12|mens-college-basketball|texas-tech-red-raiders
West Virginia|West Virginia|Big 12|mens-college-basketball|west-virginia-mountaineers
Butler|Butler|Big East|mens-college-basketball|butler-bulldogs
Creighton|Creighton|Big East|mens-college-basketball|creighton-bluejays
DePaul|DePaul|Big East|mens-college-basketball|depaul-blue-demons
Georgetown|Georgetown|Big East|mens-college-basketball|georgetown-hoyas
Marquette|Marquette|Big East|mens-college-basketball|marquette-golden-eagles
Providence|Providence|Big East|mens-college-basketball|providence-friars
Seton Hall|Seton Hall|Big East|mens-college-basketball|seton-hall-pirates
St John's|St John's|Big East|mens-college-basketball|st.-john's-red-storm
Villanova|Villanova|Big East|mens-college-basketball|villanova-wildcats
Xavier|Xavier|Big East|mens-college-basketball|xavier-musketeers
E Washington|E Washington|Big Sky|mens-college-basketball|eastern-washington-eagles
Idaho|Idaho|Big Sky|mens-college-basketball|idaho-vandals
Idaho State|Idaho State|Big Sky|mens-college-basketball|idaho-state-bengals
Montana|Montana|Big Sky|mens-college-basketball|montana-grizzlies
Montana State|Montana State|Big Sky|mens-college-basketball|montana-state-bobcats
North Dakota|North Dakota|Big Sky|mens-college-basketball|north-dakota-fighting-hawks
N Arizona|N Arizona|Big Sky|mens-college-basketball|northern-arizona-lumberjacks
N Colorado|N Colorado|Big Sky|mens-college-basketball|northern-colorado-bears
Portland State|Portland State|Big Sky|mens-college-basketball|portland-state-vikings
Sacramento St|Sacramento St|Big Sky|mens-college-basketball|sacramento-state-hornets
Southern Utah|Southern Utah|Big Sky|mens-college-basketball|southern-utah-thunderbirds
Weber State|Weber State|Big Sky|mens-college-basketball|weber-state-wildcats
